Source,Chinese Char,Frequency,English Translation,Pinyin
有些 20997,有些 ,20997,Some,yǒuxiē  
错 20914,错 ,20914,mistaken ,cuò  
這個 20849,這個 ,20849,this ,zhège  
帮助 20849,帮助 ,20849,help ,bāngzhù  
长官 20785,长官 ,20785,Chief,zhǎngguān  
out 20778,out ,20778,out ,out  
ll 20747,ll ,20747,ll ,ll  
公司 20745,公司 ,20745,company ,gōngsī  
up 20632,up ,20632,up ,up  
打电话 20621,打电话 ,20621,Call up ,dǎdiànhuà  
房子 20426,房子 ,20426,House ,fángzi  
根本 20419,根本 ,20419,Fundamental,gēnběn  
懂 20399,懂 ,20399,Understand ,dǒng  
办法 20396,办法 ,20396,Method ,bànfǎ  
go 20323,go ,20323,go ,go  
不管 20313,不管 ,20313,Regardless of ,bùguǎn  
混蛋 20306,混蛋 ,20306,asshole ,húndàn  
关于 20217,关于 ,20217,about ,guānyú  
right 20195,right ,20195,right ,right  
she 20158,she ,20158,she ,she  
搞 20122,搞 ,20122,Engage in,gǎo  
计划 19959,计划 ,19959,plan ,jìhuà  
唯一 19772,唯一 ,19772,only ,wéiyī  
来说 19688,来说 ,19688,Convinced,láishuō  
女儿 19614,女儿 ,19614,daughter ,nǚér  
one 19317,one ,19317,one ,one  
看着 19249,看着 ,19249,Look at,kànzhe  
宝贝 19208,宝贝 ,19208,baby ,bǎobèi  
每个 19176,每个 ,19176,Each,měige  
about 19166,about ,19166,about ,about  
怎么回事 19113,怎么回事 ,19113,what happened ,zěnmehuíshì  
個 19106,個 ,19106,indivual ,ge  
其实 19073,其实 ,19073,actually ,qíshí  
漂亮 19069,漂亮 ,19069,Pretty ,piàoliang  
黑体 19019,黑体 ,19019,Black body,hēitǐ  
這樣 18925,這樣 ,18925,so ,zhèyàng  
车 18851,车 ,18851,vehicle ,chē  
if 18655,if ,18655,if ,if  
人们 18560,人们 ,18560,People,rénmen  
真正 18550,真正 ,18550,real ,zhēnzhèng  
甚至 18542,甚至 ,18542,even ,shènzhì  
那边 18527,那边 ,18527,There,nàbian  
弄 18497,弄 ,18497,alley ,lòng  
开 18483,开 ,18483,open ,kāi  
不好 18386,不好 ,18386,not good ,bùhǎo  
him 18350,him ,18350,him ,him  
喔 18228,喔 ,18228,Oh ,wo  
回 18149,回 ,18149,times ,huí  
进来 18144,进来 ,18144,Come in ,jìnlái  
裏 17945,裏 ,17945,Back,lǐ  
夫人 17915,夫人 ,17915,Lady,fūren  
之 17902,之 ,17902,Of ,zhī  
at 17876,at ,17876,at ,at  
ぃ 17778,ぃ ,17778,ぃ,ぃ  
愿意 17725,愿意 ,17725,willing ,yuànyì  
麻烦 17699,麻烦 ,17699,trouble ,máfan  
now 17698,now ,17698,now ,now  
睡 17644,睡 ,17644,sleep ,shuì  
哇 17641,哇 ,17641,Wow ,wā  
就要 17547,就要 ,17547,Be,jiùyào  
打算 17525,打算 ,17525,Intend ,dǎsuàn  
完 17502,完 ,17502,over ,wán  
故事 17449,故事 ,17449,story ,gùshi  
一种 17433,一种 ,17433,A sort of ,yīzhǒng  
害怕 17332,害怕 ,17332,Fear ,hàipà  
救 17299,救 ,17299,Save,jiù  
手 17286,手 ,17286,hand ,shǒu  
房间 17234,房间 ,17234,Room ,fángjiān  
由 17218,由 ,17218,Depend on ,yóu  
後 17192,後 ,17192,Rear ,hòu  
那儿 17180,那儿 ,17180,There,nàr  
衣服 17176,衣服 ,17176,clothing ,yīfú  
枪 17168,枪 ,17168,Gun,qiāng  
母亲 17158,母亲 ,17158,Mother ,mǔqīn  
got 17149,got ,17149,got ,got  
另 17067,另 ,17067,Other ,lìng  
下来 17025,下来 ,17025,Come down,xiàlai  
